,pop,ssp,garden,grwvol_m,weight
2,AZT-1,w,Majors,1.496407865,133.9384
5,AZW-1,w,Majors,1.011217768,73.2268
8,CAT-1,t,Majors,2.562640993,79.11365
11,CAT-2,t,Majors,2.339795217,118.68225
14,COT-1,t,Majors,3.20469992,429.8868
17,COW-1,w,Majors,1.055131317,73.51535
20,COW-2,w,Majors,0.724925237,83.66575
23,IDT-1,t,Majors,1.879854924,138.7955
26,IDT-2,t,Majors,1.391671444,124.3297
29,IDT-3,t,Majors,1.417017564,208.5337
32,IDW-1,w,Majors,0.413604819,29.29253333
35,IDW-2,w,Majors,0.218708434,6.718
38,IDW-3,w,Majors,0.620162996,7.202766667
41,MTT-1,t,Majors,2.140549965,78.43925
44,MTW-1,w,Majors,0.680870637,1.0621
47,MTW-2,w,Majors,0.714111032,30.76405
50,MTW-3,w,Majors,0.638077922,60.11335
53,NMT-1,w,Majors,1.565802018,67.2042
56,NMT-2,w,Majors,1.146654809,27.5313
59,NVT-1,t,Majors,2.230568721,160.3958667
62,NVT-2,t,Majors,1.629347329,197.57755
65,NVW-1,t,Majors,2.436376836,151.0742
68,ORT-1,t,Majors,1.107129854,313.2592
71,ORT-2,t,Majors,2.995768945,260.024
74,ORT-3,t,Majors,1.037653793,50.8003
77,ORW-1,w,Majors,1.176486285,54.46775
80,ORW-2,t,Majors,1.043334547,50.8975
83,ORW-3,t,Majors,1.403186481,177.90675
86,UTT-1,t,Majors,1.890228115,159.828
89,UTT-2,t,Majors,2.187942744,73.34675
92,UTT-3,t,Majors,2.653642585,48.29715
95,UTV-2,w,Majors,1.015998912,54.3006
98,UTW-1,w,Majors,0.936848553,33.339
101,UTW-2,w,Majors,0.705392587,96.37305
104,WAT-1,t,Majors,2.642785002,104.7599333
107,WAT-2,w,Majors,1.829654529,40.5048
110,WAW-1,w,Majors,1.378515732,102.995
113,WYW-1,w,Majors,0.44023956,23.723
116,WYW-2,w,Majors,0.673160154,2.7615
3,AZT-1,w,Orchard,0.378861134,0.12515
6,AZW-1,w,Orchard,0.323690187,0.01745
9,CAT-1,t,Orchard,0.810063268,82.25495
12,CAT-2,t,Orchard,0.601381385,16.61955
15,COT-1,t,Orchard,1.027501953,22.4252
18,COW-1,w,Orchard,0.178254218,0.01065
21,COW-2,w,Orchard,0.171012125,3.00E-04
24,IDT-1,t,Orchard,0.849904234,41.5008
27,IDT-2,t,Orchard,0.772186971,144.9574
30,IDT-3,t,Orchard,0.586437038,20.4803
33,IDW-1,w,Orchard,0.286221943,0.093333333
36,IDW-2,w,Orchard,0.11910797,1.3603
39,IDW-3,w,Orchard,0.307301564,0.1953
42,MTT-1,t,Orchard,0.534727484,0.50435
45,MTW-1,w,Orchard,0.082821011,0
48,MTW-2,w,Orchard,0.153201418,0.011833333
51,MTW-3,w,Orchard,0.120129477,0.0904
54,NMT-1,w,Orchard,0.485270926,0.0096
57,NMT-2,w,Orchard,0.40167457,0.03975
60,NVT-1,t,Orchard,0.773192071,8.121666667
63,NVT-2,t,Orchard,0.900110883,15.97155
66,NVW-1,t,Orchard,0.496515455,7.4931
69,ORT-1,t,Orchard,0.675045323,18.2348
72,ORT-2,t,Orchard,1.838246728,15.86395
75,ORT-3,t,Orchard,0.251352629,13.17073333
78,ORW-1,w,Orchard,0.074036239,0.0392
81,ORW-2,t,Orchard,0.443024092,42.4767
84,ORW-3,t,Orchard,0.703801368,24.8091
87,UTT-1,t,Orchard,0.529606004,1.5662
90,UTT-2,t,Orchard,0.702060339,1.87895
93,UTT-3,t,Orchard,0.994859522,0.000933333
96,UTV-2,w,Orchard,0.306903536,0.60209
105,WAT-1,t,Orchard,1.224104434,84.32152
108,WAT-2,w,Orchard,0.378000916,3.96755
111,WAW-1,w,Orchard,0.508764437,4.01745
114,WYW-1,w,Orchard,0.04578243,0
117,WYW-2,w,Orchard,0.035441773,0.245