,pop,garden,TD,type,observed,fitted,a.hat
1,AZT1,Ephraim,22.8,T4x,0.7,0.436761494,0.654511703
3,AZW1,Ephraim,21.8,T4x,0.636363636,0.360552224,0.335859466
6,CAT1,Ephraim,22.7,T2x,0.8,0.329876308,0.622646479
8,CAT2,Ephraim,20.8,T2x,1,0.211787585,0.01720723
10,COT1,Ephraim,26.4,T2x,0.3,0.615447358,1.801659753
11,COW1,Ephraim,26.4,W4x,0.7,0.371367967,1.801659753
13,COW2,Ephraim,28.3,W4x,0.222222222,0.519761341,2.407099002
16,IDT1,Ephraim,25.5,T2x,0.666666667,0.545742172,1.51487274
17,IDT2,Ephraim,25.1,T2x,0.6,0.514001543,1.387411846
19,IDT3,Ephraim,22.8,T2x,0.444444444,0.33695816,0.654511703
21,IDW1,Ephraim,25.5,W4x,0.666666667,0.307221848,1.51487274
23,IDW2,Ephraim,25,W4x,1,0.274389285,1.355546622
26,IDW3,Ephraim,24.2,W4x,1,0.226638983,1.100624833
27,MTT1,Ephraim,27.2,T2x,0,0.673748978,2.056581542
29,MTW1,Ephraim,30.2,W4x,0.333333333,0.664748062,3.012538251
31,MTW2,Ephraim,32.2,W4x,0,0.789486057,3.649842723
34,MTW3,Ephraim,26.6,W4x,0.7,0.38636394,1.8653902
35,NMT1,Ephraim,24.3,T4x,0.2,0.555683674,1.132490057
37,NMT2,Ephraim,24.5,T4x,0.7,0.571357751,1.196220504
39,NVT1,Ephraim,23.1,T2x,0.6,0.358637278,0.750107373
42,NVT2,Ephraim,24,T2x,0.6,0.426903373,1.036894386
43,NVW1,Ephraim,23.8,T2x,0.8,0.411388805,0.973163939
45,ORT1,Ephraim,23.4,T2x,0.8,0.380909893,0.845703044
47,ORT2,Ephraim,22.5,T2x,0.444444444,0.315943958,0.558916032
50,ORT3,Ephraim,20.6,T2x,0.7,0.20134419,-0.046523217
52,ORW1,Ephraim,23.9,W4x,0.333333333,0.210322382,1.005029162
54,ORW2,Ephraim,20.8,T2x,0.9,0.211787585,0.01720723
56,ORW3,Ephraim,19.7,T2x,1,0.159131918,-0.33331023
57,UTT1,Ephraim,23.2,T2x,0.6,0.365999348,0.781972597
59,UTT2,Ephraim,27.3,T2x,0.3,0.680714161,2.088446765
62,UTT3,Ephraim,24.1,T2x,0.625,0.434716958,1.06875961
63,UTV2,Ephraim,23.1,W4x,0.5,0.17109238,0.750107373
70,WAT1,Ephraim,23.3,T2x,0.3,0.373424553,0.813837821
71,WAT2,Ephraim,24,T4x,0.222222222,0.531973007,1.036894386
73,WYW2,Ephraim,28.1,W4x,0.75,0.503838953,2.343368554
2,AZT1,Majors,22.8,T4x,0,0.947670001,0.654511703
4,AZW1,Majors,21.8,T4x,0.1,0.929418057,0.335859466
5,CAT1,Majors,22.7,T2x,0,0.899347386,0.622646479
7,CAT2,Majors,20.8,T2x,0.111111111,0.82984865,0.01720723
9,COT1,Majors,26.4,T2x,0,0.966721777,1.801659753
12,COW1,Majors,26.4,W4x,0.111111111,0.915378635,1.801659753
14,COW2,Majors,28.3,W4x,0,0.95196463,2.407099002
15,IDT1,Majors,25.5,T2x,0,0.956153372,1.51487274
18,IDT2,Majors,25.1,T2x,0.2,0.95048796,1.387411846
20,IDT3,Majors,22.8,T2x,0.3,0.902195396,0.654511703
22,IDW1,Majors,25.5,W4x,0.333333333,0.890354181,1.51487274
24,IDW2,Majors,25,W4x,0.25,0.87380599,1.355546622
25,IDW3,Majors,24.2,W4x,0.2,0.842919903,1.100624833
28,MTT1,Majors,27.2,T2x,0,0.974015558,2.056581542
30,MTW1,Majors,30.2,W4x,0,0.973195873,3.012538251
32,MTW2,Majors,32.2,W4x,0.111111111,0.985646925,3.649842723
33,MTW3,Majors,26.6,W4x,0,0.920186335,1.8653902
36,NMT1,Majors,24.3,T4x,0,0.966895298,1.132490057
38,NMT2,Majors,24.5,T4x,0,0.968875636,1.196220504
40,NVT1,Majors,23.1,T2x,0,0.910312386,0.750107373
41,NVT2,Majors,24,T2x,0,0.931134099,1.036894386
44,NVW1,Majors,23.8,T2x,0.25,0.926933491,0.973163939
46,ORT1,Majors,23.4,T2x,0.1,0.917817095,0.845703044
48,ORT2,Majors,22.5,T2x,0.1,0.893429796,0.558916032
49,ORT3,Majors,20.6,T2x,0.181818182,0.820659868,-0.046523217
51,ORW1,Majors,23.9,W4x,0,0.829843768,1.005029162
53,ORW2,Majors,20.8,T2x,0.090909091,0.82984865,0.01720723
55,ORW3,Majors,19.7,T2x,0.333333333,0.774524457,-0.33331023
58,UTT1,Majors,23.2,T2x,0.1,0.912880192,0.781972597
60,UTT2,Majors,27.3,T2x,0,0.974809977,2.088446765
61,UTT3,Majors,24.1,T2x,0,0.933149546,1.06875961
64,UTV2,Majors,23.1,W4x,0.1,0.790774236,0.750107373
66,UTW1,Majors,27.6,W4x,0.1,0.940673147,2.184042436
68,UTW2,Majors,26.9,W4x,0,0.926931149,1.960985871
69,WAT1,Majors,23.3,T2x,0,0.915381313,0.813837821
72,WAT2,Majors,24,T4x,0,0.963694994,1.036894386